DOI	Organism	Tissue	Technique	Data location	itemLabel	normalized_doi	item
10.1038/NMETH.2772	Mouse	Culture	STRT-seq (C1)	GSE46980	Quantitative single-cell RNA-seq with unique molecular identifiers.	10.1038/NMETH.2772	Q34393809
10.1126/SCIENCE.1245316	Mouse	Embryo	Smart-seq2	GSE45719	Single-cell RNA-seq reveals dynamic, random monoallelic gene expression in mammalian cells.	10.1126/SCIENCE.1245316	Q42774504
10.1126/SCIENCE.1247651	Mouse	Spleen	MARS-seq	GSE54006	Massively parallel single-cell RNA-seq for marker-free decomposition of tissues into cell types.	10.1126/SCIENCE.1247651	Q34404570
10.1101/003236	Human	Culture	SCRB-seq	GSE53638			
10.1038/NBT.2859	Human	Muscle	SMARTer (C1)	GSE52529	The dynamics and regulators of cell fate decisions are revealed by pseudotemporal ordering of single cells.	10.1038/NBT.2859	Q41861103
10.1038/NATURE13173	Mouse	Lung	SMARTer (C1)	GSE52583	Reconstructing lineage hierarchies of the distal lung epithelium using single-cell RNA-seq	10.1038/NATURE13173	Q34094294
10.1016/J.CELL.2014.03.036	Mouse	Ear	BioMark		Reconstruction of the mouse otocyst and early neuroblast lineage at single-cell resolution.	10.1016/J.CELL.2014.03.036	Q30580416
10.1073/PNAS.1402030111	Mouse	Culture	Tang	GSE47835	Microfluidic single-cell whole-transcriptome sequencing.	10.1073/PNAS.1402030111	Q33627262
10.1016/J.CELREP.2014.04.011	Mouse	Spleen	SMARTer (C1)	E-MTAB-2512	Single-cell RNA sequencing reveals T helper cells synthesizing steroids de novo to contribute to immune homeostasis.	10.1016/J.CELREP.2014.04.011	Q33691866
10.1038/NATURE13437	Mouse	Culture	SMARTer (C1)	GSE48968	Single-cell RNA-seq reveals dynamic paracrine control of cellular variation.	10.1038/NATURE13437	Q35185544
10.1126/SCIENCE.1254257	Human	Brain	SMARTer	GSE57872	Single-cell RNA-seq highlights intratumoral heterogeneity in primary glioblastoma	10.1126/SCIENCE.1254257	Q29615604
10.1242/DEV.110601	Mouse	Kidney	SMARTer (C1)		Single cell dissection of early kidney development: multilineage priming	10.1242/DEV.110601	Q34341652
10.1038/NBT.2967	Human	Brain	SMARTer (C1)	SRP041736	Low-coverage single-cell mRNA sequencing reveals cellular heterogeneity and activated signaling pathways in developing cerebral cortex	10.1038/NBT.2967	Q34315297
10.1101/GR.171645.113	Mouse	Thymus	SMARTer (C1)	GSE60297	Population and single-cell genomics reveal the Aire dependency, relief from Polycomb silencing, and distribution of self-antigen expression in thymic epithelia.	10.1101/GR.171645.113	Q34590391
10.1016/J.CELREP.2014.08.029	Mouse	Tumor, Culture, Blood	Tang	GSE51372	Single-cell RNA sequencing identifies extracellular matrix gene expression by pancreatic circulating tumor cells	10.1016/J.CELREP.2014.08.029	Q34502783
10.1038/NN.3881	Mouse	Brain	STRT-seq	GSE59739	Unbiased classification of sensory neuron types by large-scale single-cell RNA sequencing.	10.1038/NN.3881	Q42775852
10.15252/EMBJ.201488977	Mouse	Brain	STRT-seq (C1)	GSE63093	A secretagogin locus of the mammalian hypothalamus controls stress hormone release.	10.15252/EMBJ.201488977	Q42081962
10.1038/NATURE13920	Mouse	Culture	SMARTer (C1)	GSE60749	Deconstructing transcriptional heterogeneity in pluripotent stem cells	10.1038/NATURE13920	Q41730518
10.1038/MP.2014.162	Mouse	Brain	sc-RT-mPCR		Cortical fast-spiking parvalbumin interneurons enwrapped in the perineuronal net express the metallopeptidases Adamts8, Adamts15 and Neprilysin	10.1038/MP.2014.162	Q35168850
10.1016/J.STEM.2014.11.005	Mouse	Culture	SMARTer	GSE55291	Single-cell transcriptome analysis reveals dynamic changes in lncRNA expression during reprogramming.	10.1016/J.STEM.2014.11.005	Q34924833
10.1038/NBT.3102	Mouse	Culture	SMARTer (C1)	E-MTAB-2805	Computational analysis of cell-to-cell heterogeneity in single-cell RNA-sequencing data reveals hidden subpopulations of cells.	10.1038/NBT.3102	Q30884891
10.1038/NBT.3129	Mouse, Human	Culture	DR-Seq	GSE62952	Integrated genome and transcriptome sequencing of the same cell	10.1038/NBT.3129	Q34458660
10.1186/S13059-015-0580-X	Arabidopsis thaliana	Root	CEL-seq	GSE46226	Quantification of cell identity from single-cell gene expression profiles	10.1186/S13059-015-0580-X	Q33359890
10.1126/SCIENCE.1258367	Human	Blood, Culture	CytoSeq		Expression profiling. Combinatorial labeling of single cells for gene expression cytometry.	10.1126/SCIENCE.1258367	Q35556351
10.1016/J.CUB.2015.01.034	Mouse	Ovary	SMARTer (C1)	GSE64960	Sexual cell-fate reprogramming in the ovary by DMRT1.	10.1016/J.CUB.2015.01.034	Q35196437
10.1126/SCIENCE.AAA1934	Mouse	Brain	STRT-seq (C1)	GSE60361	Brain structure. Cell types in the mouse cortex and hippocampus revealed by single-cell RNA-seq.	10.1126/SCIENCE.AAA1934	Q42776227
10.1093/NAR/GKV134	Human, Mouse		SC3-seq	GSE63266	SC3-seq: a method for highly parallel and quantitative measurement of single-cell gene expression.	10.1093/NAR/GKV134	Q42400918
10.1016/J.MOLCEL.2015.03.005	Human	Culture	SMARTer (C1)	GSE66053	Single mammalian cells compensate for differences in cellular volume and DNA copy number through independent global transcriptional mechanisms.	10.1016/J.MOLCEL.2015.03.005	Q27308751
10.1038/NBT.3192	Zebrafish	Embryo	STRT-seq	GSE66688	Spatial reconstruction of single-cell gene expression data.	10.1038/NBT.3192	Q30930652
10.1038/NBT.3209	Platynereis dumerilii		SMARTer (C1)	E-MTAB-2865	High-throughput spatial mapping of single-cell RNA-seq data to tissue of origin.	10.1038/NBT.3209	Q30930642
10.1073/PNAS.1507125112	Human	Brain	SMARTer (C1)	GSE67835	A survey of human brain transcriptome diversity at the single cell level.	10.1073/PNAS.1507125112	Q34480096
10.1016/J.CELL.2015.05.002	Human, Mouse	Eye	Drop-seq	GSE63473	Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanoliter Droplets	10.1016/J.CELL.2015.05.002	Q34044099
10.1016/J.CELL.2015.04.044	Human, Mouse	Culture	InDrops	GSE65525	Droplet barcoding for single-cell transcriptomics applied to embryonic stem cells.	10.1016/J.CELL.2015.04.044	Q40912054
10.1016/J.STEM.2015.04.004	Mouse	Bone marrow	Smart-seq2	GSE61533	Combined Single-Cell Functional and Gene Expression Analysis Resolves Heterogeneity within Stem Cell Populations	10.1016/J.STEM.2015.04.004	Q34477689
10.1371/JOURNAL.PONE.0116328	Human, Mouse	Culture, Skin	Hi-SCL	GSE62050	High-Throughput Single-Cell Labeling (Hi-SCL) for RNA-Seq Using Drop-Based Microfluidics	10.1371/JOURNAL.PONE.0116328	Q27317799
10.1016/J.CELREP.2015.04.062	Mouse	Ear	BioMark		Quantitative High-Resolution Cellular Map of the Organ of Corti.	10.1016/J.CELREP.2015.04.062	Q30381792
10.15252/MSB.20156198	Mouse	Culture	BAT-Seq	GSE60768	Single-cell polyadenylation site mapping reveals 3' isoform choice variability.	10.15252/MSB.20156198	Q35850340
10.1016/J.CELL.2015.05.015	Human		Tang	GSE63818	The Transcriptome and DNA Methylome Landscapes of Human Primordial Germ Cells.	10.1016/J.CELL.2015.05.015	Q34670376
10.1038/NI.3200	Mouse		SMARTer (C1)	GSE60781	Identification of cDC1- and cDC2-committed DC progenitors reveals early lineage priming at the common DC progenitor stage in the bone marrow.	10.1038/NI.3200	Q47687570
10.1186/S13059-015-0692-3	Human		SMARTer (C1)	GSE69405	Single-cell mRNA sequencing identifies subclonal heterogeneity in anti-cancer drug responses of lung adenocarcinoma cells.	10.1186/S13059-015-0692-3	Q35863199
10.1186/S13059-015-0683-4	Rat, Mouse		aRNA amplification	GSE56638	Deep sequencing reveals cell-type-specific patterns of single-cell transcriptome variation.	10.1186/S13059-015-0683-4	Q35780762
10.1186/S13059-015-0684-3	Human		Bose	GSE66357	Scalable microfluidics for single-cell RNA printing and sequencing.	10.1186/S13059-015-0684-3	Q35654800
10.1186/1471-2164-15-1129	Human	Culture	Rothwell	GSE52716	Evaluation and validation of a robust single cell RNA-amplification protocol through transcriptional profiling of enriched lung cancer initiating cells.	10.1186/1471-2164-15-1129	Q35060289
10.1136/THORAXJNL-2015-207035	Mouse	Lung	SMARTer (C1)	GSE69761	'LungGENS': a web-based tool for mapping single-cell gene expression in the developing lung	10.1136/THORAXJNL-2015-207035	Q28087180
10.1016/J.YMETH.2015.06.021	Mouse		SMARTer (C1)	E-MTAB-3707	Computational assignment of cell-cycle stage from single-cell transcriptome data.	10.1016/J.YMETH.2015.06.021	Q30978560
10.1186/S13059-015-0706-1	Mouse		SUPeR-seq	GSE53386	Single-cell RNA-seq transcriptome analysis of linear and circular RNAs in mouse preimplantation embryos.	10.1186/S13059-015-0706-1	Q30406388
10.1016/J.STEM.2015.07.002	Mouse		Smart-seq2	GSE67833	Single-Cell Transcriptomics Reveals a Population of Dormant Neural Stem Cells that Become Activated upon Brain Injury.	10.1016/J.STEM.2015.07.002	Q34672009
10.1038/NI.3246	Human, Mouse		Smart-seq2	E-MTAB-3346	Single-cell transcriptome analysis reveals coordinated ectopic gene-expression patterns in medullary thymic epithelial cells	10.1038/NI.3246	Q36363466
10.1038/NI.3247	Mouse		CEL-seq	GSE70798	Aire controls gene expression in the thymic epithelium with ordered stochasticity	10.1038/NI.3247	Q36247031
10.1038/NATURE14966	Mouse	Organoid	CEL-seq	GSE62270	Single-cell messenger RNA sequencing reveals rare intestinal cell types.	10.1038/NATURE14966	Q34490100
10.1016/J.STEM.2015.07.013	Mouse		SMARTer	GSE71485	Single-Cell RNA-Seq with Waterfall Reveals Molecular Cascades underlying Adult Neurogenesis.	10.1016/J.STEM.2015.07.013	Q34672485
10.1038/NMETH.3549	Human	Culture	SMARTer (C1)	GSE64016	Oscope identifies oscillatory genes in unsynchronized single-cell RNA-seq experiments	10.1038/NMETH.3549	Q36109099
10.1186/S13059-015-0739-5	Mouse		SMARTer (C1)	ERP010829	Single-cell transcriptomic reconstruction reveals cell cycle and multi-lineage differentiation defects in Bcl11a-deficient hematopoietic stem cells.	10.1186/S13059-015-0739-5	Q36076909
10.1016/J.CELL.2015.08.027	Mouse	Culture	SMARTer	GSE65528	Pathogen Cell-to-Cell Variability Drives Heterogeneity in Host Immune Responses	10.1016/J.CELL.2015.08.027	Q34492731
10.1016/J.CELL.2015.08.040	Human		CEL-seq	GSE68596	Genome-wide maps of nuclear lamina interactions in single human cells	10.1016/J.CELL.2015.08.040	Q36094851
10.1126/SCIENCE.AAB0917	Human	Tumor	Tang	GSE67980	RNA-Seq of single prostate CTCs implicates noncanonical Wnt signaling in antiandrogen resistance.	10.1126/SCIENCE.AAB0917	Q34494714
10.1016/J.CELL.2015.09.004	Human	Brain	SMARTer (C1)	phs000989.v1.p1	Molecular identity of human outer radial glia during cortical development	10.1016/J.CELL.2015.09.004	Q27321802
10.1016/J.STEM.2015.09.011	Mouse	Culture	SMARTer (C1)	E-MTAB-2600	Single Cell RNA-Sequencing of Pluripotent States Unlocks Modular Transcriptional Variation.	10.1016/J.STEM.2015.09.011	Q36128694
10.1101/GR.192237.115	Mouse	Bone marrow	SMARTer	GSE59114	Single-cell RNA-seq reveals changes in cell cycle and differentiation programs upon aging of hematopoietic stem cells.	10.1101/GR.192237.115	Q36333706
10.1016/J.DEVCEL.2015.09.009	Mouse		SMARTer (C1)	GSE66202	Intrinsic Age-Dependent Changes and Cell-Cell Contacts Regulate Nephron Progenitor Lifespan.	10.1016/J.DEVCEL.2015.09.009	Q36191159
10.1038/NCOMMS9557	Mouse	Ear	SMARTer (C1)	GSE71982	Single-cell RNA-Seq resolves cellular complexity in sensory organs from the neonatal inner ear.	10.1038/NCOMMS9557	Q27321172
10.1038/NCOMMS9372	Rat		SMARTer (C1)	GSE68625	Inhibition of DYRK1A and GSK3B induces human β-cell proliferation.	10.1038/NCOMMS9372	Q38950360
10.1186/S13742-015-0091-4	Human	Culture	MIRALCS		Full-length single-cell RNA-seq applied to a viral human cancer: applications to HPV expression and splicing analysis in HeLa S3 cells	10.1186/S13742-015-0091-4	Q36255382
10.1126/SCIENCE.AAD2456	Mouse	Brain	PCR	GSE75413	Single-cell transcriptomics reveals receptor transformations during olfactory neurogenesis.	10.1126/SCIENCE.AAD2456	Q34674303
10.1016/J.CELL.2015.11.009	Mouse	Spleen, Lymph node, Culture	SMARTer (C1)	GSE74833	Single-Cell Genomics Unveils Critical Regulators of Th17 Cell Pathogenicity.	10.1016/J.CELL.2015.11.009	Q36352374
10.1016/J.CELL.2015.11.013	Mouse	Bone marrow	MARS-seq	GSE72857	Transcriptional Heterogeneity and Lineage Commitment in Myeloid Progenitors.	10.1016/J.CELL.2015.11.013	Q40252079
10.1016/J.DEVCEL.2015.11.004	Planarian		Smart-seq2	PRJNA276084	A Generic and Cell-Type-Specific Wound Response Precedes Regeneration in Planarians	10.1016/J.DEVCEL.2015.11.004	Q35864570
10.1073/PNAS.1520760112	Human	Organoid	SMARTer (C1)	GSE75140	Human cerebral organoids recapitulate gene expression programs of fetal neocortex development	10.1073/PNAS.1520760112	Q28973614
10.1038/NBT.3443	Mouse	Brain	Patch-seq	GSE70844	Integration of electrophysiological recordings with single-cell RNA-seq data identifies neuronal subtypes	10.1038/NBT.3443	Q31033187
10.15252/EMBR.201540946	Human	Pancreas	Smart-seq2	GSE73727	Single-cell transcriptomes reveal characteristic features of human pancreatic islet cell types	10.15252/EMBR.201540946	Q36667246
10.1038/CR.2015.149	Mouse		SMARTer	GSE63576	Somatosensory neuron types identified by high-coverage single-cell RNA-sequencing and functional heterogeneity.	10.1038/CR.2015.149	Q36751641
10.1038/NN.4216	Mouse	Brain	SMARTer	GSE71585	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	10.1038/NN.4216	Q27311570
10.1038/NCOMMS10220	Mouse		Smart-seq2	GSE74923	A microfluidic platform enabling single-cell RNA-seq of multigenerational lineages.	10.1038/NCOMMS10220	Q27336403
10.1038/NMETH.3728	Mouse		scM&T-seq	GSE74534	Parallel single-cell sequencing links transcriptional and epigenetic heterogeneity.	10.1038/NMETH.3728	Q38671177
10.1016/J.CELREP.2015.12.089	Mouse	Culture	SMARTer (C1)	GSE75804	Serum-Based Culture Conditions Provoke Gene Expression Variability in Mouse Embryonic Stem Cells as Revealed by Single-Cell Analysis.	10.1016/J.CELREP.2015.12.089	Q38255348
10.1016/J.CELREP.2015.12.082	Zebrafish	Kidney, Heart	Smart-seq2	E-MTAB-3947	Single-Cell RNA-Sequencing Reveals a Continuous Spectrum of Differentiation in Hematopoietic Cells.	10.1016/J.CELREP.2015.12.082	Q38264685
10.1038/ICB.2016.16	Human	Blood	Smart-seq2		Linking the T cell receptor to the single cell transcriptome in antigen-specific human T cells.	10.1038/ICB.2016.16	Q40010542
10.1038/NI.3368	Human	Tonsil	Smart-seq2	GSE70580	The heterogeneity of human CD127(+) innate lymphoid cells revealed by single-cell RNA sequencing.	10.1038/NI.3368	Q40791214
10.1038/CR.2016.23	Human, Mouse		scTrio-seq	GSE65364	Single-cell triple omics sequencing reveals genetic, epigenetic, and transcriptomic heterogeneity in hepatocellular carcinomas.	10.1038/CR.2016.23	Q36665795
10.1038/NMETH.3800	Mouse		SMARTer (C1)	E-MTAB-3857	T cell fate and clonality inference from single-cell transcriptomes	10.1038/NMETH.3800	Q34517214
10.1073/PNAS.1602306113	Mouse	Pancreas	SMARTer (C1)	GSE77980	Use of the Fluidigm C1 platform for RNA sequencing of single mouse pancreatic islet cells.	10.1073/PNAS.1602306113	Q36742695
10.1016/J.DEVCEL.2016.02.020	Mouse		Smart-seq2	GSE65924	Spatial Transcriptome for the Molecular Annotation of Lineage Fates and Cell Identity in Mid-gastrula Mouse Embryo.	10.1016/J.DEVCEL.2016.02.020	Q38449548
10.1038/NCOMMS11075	Mouse		SMARTer (C1)	GSE70657	Single-cell RNA sequencing reveals molecular and functional platelet bias of aged haematopoietic stem cells.	10.1038/NCOMMS11075	Q36765250
10.1016/J.CELL.2016.01.047	Mouse		Smart-seq2	E-MTAB-3321	Heterogeneity in Oct4 and Sox2 Targets Biases Cell Fate in 4-Cell Mouse Embryos.	10.1016/J.CELL.2016.01.047	Q34519843
10.1158/2159-8290.CD-16-0008	Mouse		SMARTer (C1)	GSE77847	DNMT3A Haploinsufficiency Transforms FLT3ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia.	10.1158/2159-8290.CD-16-0008	Q40832501
10.1126/SCIENCE.AAD0501	Human	Culture	Smart-seq2	GSE72056	Dissecting the multicellular ecosystem of metastatic melanoma by single-cell RNA-seq	10.1126/SCIENCE.AAD0501	Q37094024
10.1016/J.CELL.2016.03.023	Human	Embryo	Smart-seq2	E-MTAB-3929	Single-Cell RNA-Seq Reveals Lineage and X Chromosome Dynamics in Human Preimplantation Embryos.	10.1016/J.CELL.2016.03.023	Q36906085
10.7554/ELIFE.12845	Schmidtea mediterranea		Smart-seq2	GSE74360	Two FGFRL-Wnt circuits organize the planarian anteroposterior axis.	10.7554/ELIFE.12845	Q41483547
10.1186/S13059-016-0932-1	Human		SMARTer (C1)	GSE71315	Single-cell analysis of long non-coding RNAs in the developing human neocortex.	10.1186/S13059-016-0932-1	Q34522214
10.1038/NI.3437	Mouse		Smart-seq2	GSE74596	Innate-like functions of natural killer T cell subsets result from highly divergent gene programs	10.1038/NI.3437	Q37094372
10.1038/NCOMMS11022	Mouse	Brain	SMARTer (C1)	GSE77067	Nuclear RNA-seq of single neurons reveals molecular signatures of activation	10.1038/NCOMMS11022	Q30276962
10.1038/NCOMMS11414	Mouse		Tang	GSE74410	Single-cell RNA-seq reveals cell type-specific transcriptional signatures at the maternal-foetal interface during pregnancy.	10.1038/NCOMMS11414	Q40736991
10.1186/S13059-016-0945-9	Human		SMARTer (C1)	GSE73121	Application of single-cell RNA sequencing in optimizing a combinatorial therapeutic strategy in metastatic renal cell carcinoma.	10.1186/S13059-016-0945-9	Q36855805
10.1186/S13059-016-0957-5	Mouse		SMARTer (C1)	E-MTAB-4619	Single-cell analysis of CD4+ T-cell differentiation reveals three major cell states and progressive acceleration of proliferation	10.1186/S13059-016-0957-5	Q36899464
10.1038/NATURE17997	Mouse		Tang	GSE67120	Tracing haematopoietic stem cell formation at single-cell resolution.	10.1038/NATURE17997	Q38862522
10.1016/J.CELL.2016.04.046	Arabidopsis thaliana		Tang	GSE74488	Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactions	10.1016/J.CELL.2016.04.046	Q30773560
10.1038/NATURE18323	Mouse	Embryo	SMARTer (C1)	GSE67310	Dissecting direct reprogramming from fibroblast to neuron using single-cell RNA-seq	10.1038/NATURE18323	Q37056065
10.1038/CELLDISC.2016.10	Mouse		Tang	GSE70605	Identification of key factors conquering developmental arrest of somatic cell cloned embryos by combining embryo biopsy and single-cell sequencing.	10.1038/CELLDISC.2016.10	Q36980112
10.1126/SCIENCE.AAF6463	Mouse	Brain	STRT-seq (C1)	GSE75330	Oligodendrocyte heterogeneity in the mouse juvenile and adult central nervous system	10.1126/SCIENCE.AAF6463	Q37573627
10.1126/SCIENCE.AAF1204	Human	Brain	SMARTer (C1)	phs000833.v3.p1	Neuronal subtypes and diversity revealed by single-nucleus RNA sequencing of the human brain.	10.1126/SCIENCE.AAF1204	Q37288678
10.1126/SCIENCE.AAD8670	Mouse	Brain	MARS-seq	GSE79818	Microglia development follows a stepwise program to regulate brain homeostasis.	10.1126/SCIENCE.AAD8670	Q48659057
10.1182/BLOOD-2016-05-716480	Mouse		Smart-seq2	GSE81682	A single-cell resolution map of mouse hematopoietic stem and progenitor cell differentiation	10.1182/BLOOD-2016-05-716480	Q37638837
10.2337/DB16-0405	Human	Pancreas	SMARTer (C1)	GSE83139	Single-Cell Transcriptomics of the Human Endocrine Pancreas.	10.2337/DB16-0405	Q38846538
10.1016/J.CELREP.2016.06.059	Mouse	Brain	SMARTer (C1)	GSE82187	Cellular Taxonomy of the Mouse Striatum as Revealed by Single-Cell RNA-Seq.	10.1016/J.CELREP.2016.06.059	Q41335062
10.1210/EN.2016-1235	Mouse	Pancreas	SMARTer (C1)	GSE83146	Single-Cell RNAseq Reveals That Pancreatic β-Cells From Very Old Male Mice Have a Young Gene Signature.	10.1210/EN.2016-1235	Q39551546
10.1126/SCIENCE.AAD7038	Mouse	Brain	Div-seq & sNuc-seq	GSE84371	Div-Seq: Single-nucleus RNA-Seq reveals dynamics of rare adult newborn neurons.	10.1126/SCIENCE.AAD7038	Q41068482
10.1038/NMETH.3961	Human	Culture	scGEM		Single-cell multimodal profiling reveals cellular epigenetic heterogeneity.	10.1038/NMETH.3961	Q38751790
10.1073/PNAS.1610155113	Mouse	Brain	SMARTer	GSE75386	Single-cell RNAseq reveals cell adhesion molecule profiles in electrophysiologically defined neurons	10.1073/PNAS.1610155113	Q37258645
10.1186/S13059-016-1033-X	Human	Culture	SMARTer (C1)	GSE75748	Single-cell RNA-seq reveals novel regulators of human embryonic stem cell differentiation to definitive endoderm.	10.1186/S13059-016-1033-X	Q37185635
10.1016/J.DEVCEL.2016.07.025	C elegans	Embryo	SMARTer 	GSE77944	A Transcriptional Lineage of the Early C. elegans Embryo.	10.1016/J.DEVCEL.2016.07.025	Q36111014
10.1016/J.CELL.2016.07.043	Mouse	Intestine	MARS-seq	GSE85152	The Spectrum and Regulatory Landscape of Intestinal Innate Lymphoid Cells Are Shaped by the Microbiome.	10.1016/J.CELL.2016.07.043	Q36108549
10.1038/NATURE19328	Human	Blood	SMARTer	GSE75367	HER2 expression identifies dynamic functional states within circulating breast cancer cells.	10.1038/NATURE19328	Q37510512
10.1016/J.CELL.2016.07.054	Mouse	Eye	Drop-seq	GSE81905	Comprehensive Classification of Retinal Bipolar Neurons by Single-Cell Transcriptomics.	10.1016/J.CELL.2016.07.054	Q40967362
10.1038/NATURE19348	Mouse		SMARTer (C1)	GSE70245	Single-cell analysis of mixed-lineage states leading to a binary cell fate choice.	10.1038/NATURE19348	Q37510607
10.1172/JCI.INSIGHT.89014	Human		Smart-seq2	GSE84789	Multiparametric profiling of non-small-cell lung cancers reveals distinct immunophenotypes.	10.1172/JCI.INSIGHT.89014	Q37277198
